Time,Z19_B,Z19_D,H20_B,H20_D
2019-10-01 01:00:00+00:00,0.0,8272.5,0.0,
2019-10-01 01:01:00+00:00,8274.0,8269.846153846154,8358.4086,
2019-10-01 01:02:00+00:00,8274.7207,,8357.0,
2019-10-01 01:03:00+00:00,8274.5,8260.5,8356.3132,
2019-10-01 01:04:00+00:00,8274.0,8262.5,8354.0,
2019-10-01 01:05:00+00:00,0.0,8260.573770491803,8354.0,
2019-10-01 01:06:00+00:00,8274.0361,8244.953560371518,8351.4281,
2019-10-01 01:07:00+00:00,8259.0023,8247.896551724138,8343.0669,
2019-10-01 01:08:00+00:00,0.0,8256.114285714286,8338.1973,
2019-10-01 01:09:00+00:00,8255.5932,8257.5,8339.588,
2019-10-01 01:10:00+00:00,8259.5,8257.5,0.0,
2019-10-01 01:11:00+00:00,0.0,8249.076316672257,8340.2836,
2019-10-01 01:12:00+00:00,8255.5932,8268.402945619335,8337.5021,
2019-10-01 01:13:00+00:00,8268.5629,8286.869296577946,8352.8233,
2019-10-01 01:14:00+00:00,8282.2594,8281.25,8372.4046,
2019-10-01 01:15:00+00:00,8285.6906,8280.5,8366.1006,
2019-10-01 01:16:00+00:00,8282.2594,8285.369621903521,8366.1006,
2019-10-01 01:17:00+00:00,8286.3772,,8369.6016,
2019-10-01 01:18:00+00:00,0.0,,8373.1056,
2019-10-01 01:19:00+00:00,0.0,,0.0,
2019-10-01 01:20:00+00:00,8289.0,,0.0,
2019-10-01 01:21:00+00:00,8290.0,8287.473333333333,0.0,
2019-10-01 01:22:00+00:00,8291.874,,8377.3142,
2019-10-01 01:23:00+00:00,8295.3131,8291.250423011845,0.0,
2019-10-01 01:24:00+00:00,8297.378,8286.73076923077,0.0,
2019-10-01 01:25:00+00:00,8296.6896,8288.1875,8378.0,
2019-10-01 01:26:00+00:00,8292.5616,8291.271111111111,8375.9109,
2019-10-01 01:27:00+00:00,8293.5,8291.0,0.0,
2019-10-01 01:28:00+00:00,8293.5,8287.483870967742,8376.0,
2019-10-01 01:29:00+00:00,8291.1865,8273.277777777777,8371.0028,
