Pair,Type,Start,End,NetPL,MaxDD,TotalVolume,CostAdjPL,NumTxn,RefEx,Param
ADAUSDT,REAL,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,6.47,3.91,8555.8318,6.80,84,,
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-1.04,1.20,5008.6890,-0.84,48,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-5.61,7.14,50505.6931,-3.62,475,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,1.13,0.23,1760.3082,1.20,17,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-5.03,5.72,34411.9644,-3.68,322,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.10,0.11,645.8999,-0.07,6,BINANCE,"{""pbfactor"":0.8,""widener"":8.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-1.01,1.34,20272.5143,-0.21,190,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.19,0.00,220.0000,0.20,2,BINANCE,"{""pbfactor"":0.8,""widener"":10.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.05,1.03,15670.4739,0.67,145,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,1.23,1.14,9208.9461,1.59,85,FCOIN,"{""pbfactor"":0.8,""widener"":15.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,4.80,2.87,4576.3323,4.98,43,FCOIN,"{""pbfactor"":0.8,""widener"":20.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.30,0.35,1870.0000,0.37,17,FCOIN,"{""pbfactor"":0.8,""widener"":25.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.75,0.28,1356.1884,0.81,13,FCOIN,"{""pbfactor"":0.8,""widener"":30.5}"
ADAUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.04,0.10,440.0000,-0.02,4,FCOIN,"{""pbfactor"":0.8,""widener"":35.5}"
,,,,,,,,,,
DASHUSDT,REAL,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.14,0.15,0.3690,0.17,6,,
DASHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.51,0.56,0.8783,0.57,23,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
DASHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.13,1.65,5.8748,0.28,141,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
DASHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.11,0.16,0.3100,0.13,5,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
