Time,Pair,Price,Quantity,Commission,CommissionAsset,Side,BASE,ASSET,PV,PL
2019-06-19 01:59:06.36 +0800 +08,BTCUSDT,9051.2,0.065,-3.185e-05,BTC,SELL,588.3280000000001,-0.06496815,0.28828071999998883,0.28828071999998883
2019-06-19 04:37:02.36 +0800 +08,BTCUSDT,9120.9,0.1303,-0.5823421023,USDT,BUY,-599.5429278976999,0.06533185,-3.6576572326999894,-3.9459379526999783
2019-06-19 05:12:24.521 +0800 +08,BTCUSDT,9087.1,0.1303,-6.3847e-05,BTC,SELL,584.5062021023002,-0.064904303,-5.28568968899981,-1.6280324562998203
2019-06-19 05:26:18.352 +0800 +08,BTCUSDT,9097.1,0.0447,-0.1992537813,USDT,BUY,178.06508588360026,-0.020204303,-5.735478937699753,-0.4497892486999433
2019-06-19 05:32:57.594 +0800 +08,BTCUSDT,9095,0.034,-0.1515227,USDT,BUY,-131.01339141639977,0.013795697000000003,-5.541527201399745,0.19395173630000784
2019-06-19 05:35:30.119 +0800 +08,BTCUSDT,9090.6,0.0516,-0.2298467304,USDT,BUY,-599.8585046859997,0.065395697,-5.372381537799697,0.16914566360004812
2019-06-19 05:40:21.736 +0800 +08,BTCUSDT,9043.3,0.1303,-6.3847e-05,BTC,SELL,578.4834853140002,-0.06484045599999999,-7.888210430799745,-2.515828893000048
2019-06-19 05:41:00.595 +0800 +08,BTCUSDT,9054.2,0.1301,-0.5771961958,USDT,BUY,-598.8907384902,0.065259544,-8.017775205399857,-0.1295647746001123
2019-06-19 05:42:55.922 +0800 +08,BTCUSDT,9058.5,0.1302,-6.3798e-05,BTC,SELL,580.5259615098,-0.064876658,-7.159244983199983,0.8585302221998745
2019-06-19 05:46:18.568 +0800 +08,BTCUSDT,9057.7,0.0192,-0.0852148416,USDT,BUY,406.7033363514001,-0.04567665800000001,-7.022128815200006,0.13711616799997728
2019-06-19 06:01:00.763 +0800 +08,BTCUSDT,9017.1,0.1116,-0.4930910964,USDT,BUY,-599.1119325522001,0.065923342,-4.674565404000077,2.3475634111999284
2019-06-19 06:14:10.438 +0800 +08,BTCUSDT,9013.8,0.1309,0.589999025,USDT,SELL,580.2044884227997,-0.06497665799999999,-5.482111457600126,-0.8075460536000492
2019-06-19 07:01:43.86 +0800 +08,BTCUSDT,9008.7,0.131,-0.578268453,USDT,BUY,-599.3569431242005,0.06602334200000001,-4.572462048800276,0.9096494087998508
2019-06-19 07:23:30.648 +0800 +08,BTCUSDT,8979,0.131,-6.419e-05,BTC,SELL,576.8920568757995,-0.06491246799999999,-5.95699329620038,-1.3845312474001048
2019-06-19 08:34:57.438 +0800 +08,BTCUSDT,9072,0.1297,-0.576552816,USDT,BUY,-599.1697903082005,0.06478753200000002,-11.417300004200342,-5.460306707999962
2019-06-19 08:49:36.53 +0800 +08,BTCUSDT,9058.9,0.1297,-6.3553e-05,BTC,SELL,575.7695396917997,-0.064848915,-11.690296401700266,-0.27299639749992366
2019-06-19 09:29:38.085 +0800 +08,BTCUSDT,9145.8,0.1286,-0.5763134412,USDT,BUY,-599.8040268670003,0.063751085,-16.749353674000304,-5.059057272300038
2019-06-19 09:31:07.99 +0800 +08,BTCUSDT,9153.8,0.1287,0.589092075,USDT,SELL,577.7009410579996,-0.06494891500000001,-16.82843706900053,-0.07908339500022521
